level_0,index,Address,Area,Broker,Broker_Company,Distance,New,Price,Price/m2,Rooms,Title,url,lon,lat,Street,StreetNumber,Neigh,City,Construction_Year,Type,Zip_Region,bathroom,Modernization,Precision
160,113,"Niederschönhausen, Berlin",79.58,VON POLL IMMOBILIEN Shop Berlin-Pankow,von Poll Immobilien - Ulf Sobeck,1.77,0.0,369.0,4.637,2 ,Idylle im Grünen. 2-Zimmer Wohnung über den Dächern Berlins.,https://www.immobilienscout24.de/expose/118481405,13.401397,52.5858062,,,Niederschönhausen, Berlin,1900.0, Dachgeschoss ,"13156 Berlin, Niederschönhausen",1.0, zuletzt 1996 ,0.0
161,22,"Koloniestr. 121, Gesundbrunnen, Berlin",47.0,Kai Zimmermann,Zimmermann Recalde Immobilien,1.8,1.0,175.0,3.723,1 ,NEUVermietete 2 Zimmer Eigentumswohnung in Wedding,https://www.immobilienscout24.de/expose/123364682,13.3795339,52.5599152,Koloniestr.,121, Gesundbrunnen, Berlin,1905.0, Erdgeschosswohnung ,"13359 Berlin, Gesundbrunnen",1.0, zuletzt 2019 ,1.0
162,168,"Prenzlauer Berg, Berlin",89.0,Sebastian Trommer,ImmoSky Deutschland GmbH,1.8,0.0,590.0,6.629,3 ,Hoch hinaus: Traumhafte DG-Wohnung nahe Mauerpark,https://www.immobilienscout24.de/expose/121010976,13.4285652,52.5398466,,,Prenzlauer Berg, Berlin,1915.0,,"10439 Berlin, Prenzlauer Berg",1.0,,0.0
165,51,"Reinickendorf (Ortsteil), Berlin",70.0,VON POLL IMMOBILIEN Shop Berlin-Hermsdorf,Evelyn Lemme-Kurschus,1.83,1.0,229.0,3.2710000000000004,"2,5 ",NEUEinziehen und sich wohlfühlen,https://www.immobilienscout24.de/expose/123412494,13.3455963,52.5711856,,,Reinickendorf (Ortsteil), Berlin,1958.0, Etagenwohnung ,"13409 Berlin, Reinickendorf (Ortsteil)",1.0,,0.0
164,30,"Kreuzgraben 2, Niederschönhausen, Berlin",44.81,Herr Jean-Loup Raynaud,Jean-Loup Raynaud Immobilien GmbH,1.83,1.0,185.0,4.129,2 ,NEUFrei ab sofort! kompakte 2-Zimmer-Wohnung mit Wintergarten in Pankow-Niederschönhausen,https://www.immobilienscout24.de/expose/123164902,13.4053429,52.5861759,Kreuzgraben,2, Niederschönhausen, Berlin,1997.0, Etagenwohnung ,"13156 Berlin, Niederschönhausen",1.0,,1.0
163,154,"Pankow (Ortsteil), Berlin",92.0,Herr Stephan Kraus,Amoreal GmbH,1.83,0.0,499.0,5.424,2 ,Sofort bezugsbereit: Ruhig gelegene Altbauwohnung mit viel Charme ,https://www.immobilienscout24.de/expose/121522868,13.4030903,52.5660169,,,Pankow (Ortsteil), Berlin,, Etagenwohnung ,"13189 Berlin, Pankow (Ortsteil)",1.0,,0.0
166,81,"Eulerstraße 10, Gesundbrunnen, Berlin",79.0,Frau Sabine Mehlitz,Mehlitz Immobilien GmbH,1.84,0.0,280.0,3.544,2 ,Wohnung mit viel Potential und toller Wohnküche,https://www.immobilienscout24.de/expose/122339878,13.3918215,52.5541544,Eulerstraße,10, Gesundbrunnen, Berlin,1900.0, Etagenwohnung ,"13357 Berlin, Gesundbrunnen",1.0,,1.0
167,88,"Niederschönhausen, Berlin",68.9,Frau Janine Rohloff,Debeka Bausparkasse AG,1.84,0.0,298.0,4.325,2 ,"Schöne 2-Zimmer-Wohnung mit Balkon, Aufzug und Stellplatz in Berlin-Pankow",https://www.immobilienscout24.de/expose/121811193,13.401397,52.5858062,,,Niederschönhausen, Berlin,1997.0, Etagenwohnung ,"13156 Berlin, Niederschönhausen",1.0,,0.0
168,195,"Prenzlauer Berg, Berlin",87.3,Frau Michaela Wagner,BLP Investments GmbH,1.84,1.0,776.5,8.895,2 ,NEUDas Gotland - wunderschöne Wohnung mit zwei Terrassen,https://www.immobilienscout24.de/expose/123684179,13.4285652,52.5398466,,,Prenzlauer Berg, Berlin,2018.0, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",1.0,,0.0
169,133,"Malmöer Straße 13, Prenzlauer Berg, Berlin",72.0,Carat 24 Immobilien GmbH,Carat 24 Immobilien GmbH,1.88,0.0,417.0,5.792000000000002,3 ,Mitten im Leben! 3 Zimmer Altbauwohnung,https://www.immobilienscout24.de/expose/111957191,13.4031869,52.5531869,Malmöer Straße,13, Prenzlauer Berg, Berlin,1911.0, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",1.0,,1.0
